63-Eu-151(n,&gamma;) ENDF/B-VII.1
22.0697,389.579
22.1138,595.578
22.1587,798.464
22.1895,882.875
22.2095,899.392
22.2374,867.281
22.2699,760.037
22.3477,393.964
22.3755,288.087
22.3965,226.379
22.4162,182.452
22.4354,151.336
22.4546,130.359
22.4768,116.848
22.4971,113.1
22.5191,117.465
22.5412,130.29
22.5615,149.692
22.5869,184.168
22.6213,247.221
22.6913,393.378
22.7202,433.838
22.7481,447.997
22.7789,431.241
22.811,382.239
22.8987,191.293
22.9272,141.598
22.9526,107.413
22.9758,83.9865
22.9984,67.0648
23.0209,54.7288
23.0469,44.6974
23.0706,38.2575
23.1022,32.3119
23.1417,27.4762
23.1869,23.9522
23.2512,20.9247
23.3156,19.2206
23.3935,18.2209
23.4499,18.0112
23.5563,18.5542
23.6626,20.2838
23.7626,23.2091
23.8499,27.2249
23.9226,32.1693
23.9941,39.2744
24.0496,47.2618
24.0959,56.5476
24.1409,69.2307
24.1806,85.3198
24.2136,104.524
24.2434,129.101
24.2665,155.487
24.2897,191.081
24.3125,238.588
24.3343,299.375
24.3585,388.945
24.3823,505.008
24.4094,674.538
24.4451,954.932
24.5152,1558.89
24.5514,1765.86
24.5795,1819.2
24.6096,1758.45
24.6424,1570.48
24.7354,784.754
24.7642,585.226
24.791,439.792
24.8151,340.483
24.8369,272.987
24.8608,218.893
24.8833,182.46
24.9058,157.075
24.934,137.278
24.9568,129.004
24.9797,126.462
25.0106,130.884
25.0531,147.987
25.1196,181.009
25.1572,189.171
25.1617,189.229
25.1938,183.391
25.2321,163.735
25.3168,104.199
25.3397,92.195
25.3626,83.9322
25.3878,79.6256
25.3953,79.3239
25.4253,82.4797
25.4589,93.3424
25.5418,133.982
25.5785,144.943
25.5961,146.293
25.6269,141.801
25.656,130.277
25.721,91.1432
25.7658,65.4357
25.7983,51.2918
25.8285,41.8458
25.8565,35.8518
25.8856,31.7762
25.9148,29.2796
25.9629,27.3704
25.996,27.0841
26.0626,28.1715
26.1197,30.653
26.1764,34.7714
26.233,41.2847
26.2772,49.0537
26.3161,59.1861
26.3485,71.6115
26.3744,85.7868
26.3987,104.341
26.423,130.405
26.4449,162.947
26.4662,205.899
26.4873,262.234
26.511,346.143
26.5353,457.592
26.5645,626.709
26.6228,1043.31
26.6638,1314.27
26.6984,1452.76
26.7197,1477.64
26.7476,1434.04
26.7783,1297.37
26.8302,942.145
26.8766,616.563
26.9058,450.391
26.9295,343.424
26.9533,260.971
26.9751,203.879
26.997,161.436
27.0165,133.369
27.041,107.689
27.0643,90.7156
27.0909,77.5206
27.1108,70.8478
27.1374,65.3232
27.163,63.1723
27.1715,63.1152
27.1971,64.9445
27.2276,71.1764
27.2617,83.4722
27.3093,108.298
27.3715,142.341
27.4095,153.89
27.4241,155.069
27.4554,150.866
27.4866,138.301
27.5422,103.545
27.594,70.5424
27.6275,53.7617
27.658,42.4171
27.686,34.9891
27.7135,30.0231
27.7409,26.8584
27.7686,25.1269
27.7854,24.7039
27.8188,25.213
27.8482,27.2505
27.8776,30.9871
27.9115,37.6317
27.951,48.3642
28.029,72.0848
28.0642,78.6632
28.0891,80.0742
28.1225,77.3036
28.16,68.7345
28.2493,40.4024
28.2832,31.8157
28.3168,25.5957
28.349,21.5917
28.3758,19.4162
28.4109,17.723
28.4515,16.8419
28.4798,16.6804
28.5419,17.1874
28.6097,18.836
28.6791,21.8705
28.7337,25.692
28.7793,30.5002
28.8162,36.2365
28.8458,42.7938
28.8753,52.1799
28.8991,62.864
28.9228,77.6819
28.9466,98.3153
28.9698,126.12
28.992,161.733
29.0162,213.147
29.0424,284.941
29.0759,402.224
29.1603,750.46
29.1979,857.125
29.2297,888.164
29.257,864.947
29.287,791.29
29.3313,621.701
29.391,375.996
29.42,278.782
29.444,214.533
29.468,164.57
29.4915,127.838
29.5129,102.979
29.5367,82.8239
29.5607,68.3765
29.5853,58.0733
29.6099,50.9152
29.6394,45.1687
29.669,41.5618
29.7083,39.0937
29.7367,38.6467
29.7717,39.5569
29.8067,42.3274
29.8417,47.6539
29.8723,55.4784
29.8993,66.078
29.9247,80.694
29.9501,101.531
29.9741,128.707
29.9988,166.091
30.0262,220.35
30.0584,301.745
30.1522,585.04
30.1839,651.44
30.2161,679.417
30.2197,679.691
30.2471,662.686
30.2765,610.477
30.3239,477.153
30.3821,299.535
30.4131,222.041
30.4385,172.011
30.4622,136.111
30.4869,108.665
30.5116,89.8233
30.5364,78.0393
30.5611,72.0173
30.5797,70.6851
30.6034,72.4244
30.6283,77.8412
30.6656,91.4177
30.7453,127.627
30.7861,138.676
30.8057,140.018
30.8379,135.935
30.878,121.112
30.9793,66.0628
31.0166,50.1459
31.0477,40.4587
31.0776,34.0089
31.1013,30.5875
31.1367,27.7109
31.1585,27.0641
31.1921,27.5621
31.2257,29.9815
31.2509,33.3581
31.2803,39.5829
31.3068,48.0485
31.33,58.3616
31.3532,72.0145
31.3826,94.8914
31.4167,129.648
31.4736,202.763
31.5281,269.751
31.5662,297.662
31.5893,302.566
31.6197,293.944
31.6519,268.028
31.7076,198.449
31.7615,128.675
31.7955,93.132
31.8209,72.3247
31.8469,55.8094
31.8729,43.4667
31.8995,34.2683
31.9274,27.4202
31.9552,22.5838
31.9837,19.0569
32.0183,16.0262
32.0617,13.4377
32.105,11.6434
32.162,9.99276
32.2331,8.59649
32.3328,7.34549
