48-Cd-113(n,total) ENDF/B-VII.1
501.991,49.4182
502.092,37.8714
502.18,30.2277
502.268,24.4807
502.361,20.0334
502.455,16.8555
502.571,14.1425
502.688,12.3557
502.828,10.9513
503.014,9.7678
503.294,8.68663
503.714,7.71933
504.32,6.90339
505.252,6.20627
506.893,5.58933
508.162,5.31967
511.889,4.86881
516.739,4.51328
517.306,4.64994
517.819,5.18387
518.208,5.54545
518.279,5.55644
518.605,5.33675
519.133,4.61476
519.598,4.29007
521.304,4.01233
522.194,3.94309
522.664,4.04433
522.89,4.28086
523.026,4.61311
523.162,5.25936
523.268,6.15812
523.35,7.21616
523.431,8.73178
523.513,10.8623
523.594,13.7937
523.676,17.7327
523.757,22.8917
523.849,30.396
523.951,41.157
524.074,57.4522
524.257,87.1319
524.492,126.765
524.648,146.023
524.8,154.198
524.822,154.355
524.966,148.921
525.119,132.61
525.552,64.2724
525.69,46.6202
525.808,34.882
525.907,27.3467
526.007,21.7179
526.107,17.6584
526.207,14.826
526.314,12.8103
526.434,11.4301
526.555,10.7025
526.732,10.3787
527.296,11.0632
527.525,10.7109
527.847,9.27004
528.221,7.39812
528.476,6.56986
528.768,6.06558
529.372,5.66413
530.881,5.28353
531.289,5.25344
531.696,5.38428
531.965,5.74937
532.218,6.46553
532.747,8.66695
532.976,9.08001
532.991,9.08195
533.22,8.7123
533.595,7.09261
533.896,5.88225
534.141,5.29674
534.447,4.95908
534.956,4.78843
536.009,4.69101
536.571,4.82895
537.404,5.49784
537.476,5.50652
537.852,5.28066
538.365,4.71938
538.781,4.48231
541.577,4.1708
541.778,4.16402
542.307,4.26077
543.164,4.9153
543.268,4.93189
543.612,4.73788
544.165,4.11994
544.582,3.8618
547.477,3.31858
548.448,3.23211
548.961,3.32786
549.23,3.49115
549.5,3.82745
549.682,4.24983
549.847,4.91043
549.965,5.68008
550.06,6.59683
550.154,7.92689
550.237,9.58612
550.319,11.9017
550.399,15.0132
550.475,18.976
550.55,24.2371
550.626,31.1322
550.705,40.5731
550.786,52.9228
550.881,71.4326
550.983,97.157
551.109,137.02
551.28,204.636
551.582,333.976
551.76,388.206
551.915,406.474
551.926,406.574
552.083,390.824
552.248,344.701
552.687,168.972
552.833,121.629
552.957,90.2953
553.065,69.5242
553.173,53.9681
553.275,43.1203
553.376,35.3226
553.478,29.6804
553.599,24.9229
553.72,21.6425
553.875,18.784
554.111,16.0152
554.381,14.0104
554.785,12.0848
555.352,10.4337
555.999,9.26895
556.916,8.25086
558.264,7.38124
559.774,6.81147
562.687,6.20504
568.596,5.6538
575.596,5.37681
576.237,5.45287
576.71,5.83562
577.44,7.05269
577.595,7.12421
577.905,6.85568
578.434,5.87188
578.746,5.50669
579.203,5.31282
582.451,5.20445
583.054,5.23518
583.519,5.43513
583.833,5.84698
584.507,7.28966
584.699,7.42011
584.989,7.12292
585.632,5.70305
586.017,5.29214
586.949,5.12181
589.688,5.07591
590.841,5.14845
591.219,5.38881
591.488,5.85739
591.797,6.86836
592.251,8.67638
592.495,9.05704
592.499,9.05712
592.733,8.71274
593.127,7.16322
593.368,6.23988
593.577,5.68099
593.785,5.34631
594.187,5.09055
596.517,4.96225
610.593,4.76384
611.556,4.87164
611.941,5.20945
612.31,5.97095
612.791,7.1536
612.999,7.32114
613.273,7.02479
613.867,5.50816
614.179,5.00398
614.484,4.78313
615.648,4.63181
620.855,4.28739
621.389,4.25794
621.722,4.35925
621.922,4.64015
622.055,5.06986
622.167,5.69909
622.278,6.71028
622.37,7.96354
622.463,9.70932
622.555,12.0671
622.665,15.79
622.781,21.0374
622.924,29.2901
623.137,44.5793
623.383,62.5922
623.564,71.8603
623.726,74.8623
623.89,72.0717
624.053,64.2665
624.514,32.4511
624.665,24.0495
624.782,18.9468
624.893,15.23
625.004,12.473
625.115,10.4963
625.226,9.11651
625.356,8.04459
625.522,7.2112
625.745,6.61096
626.189,6.06122
626.955,5.63953
628.107,5.36383
628.406,5.41924
628.705,5.73738
628.954,6.40405
629.2,7.53017
629.654,10.0222
629.887,10.6213
629.93,10.6345
630.149,10.2216
630.458,8.68327
630.809,6.83607
630.996,6.16041
631.245,5.62001
631.618,5.29232
632.988,5.08718
641.066,4.85005
658.14,4.63195
659.453,4.67751
659.864,4.86273
660.163,5.27942
660.446,6.06353
661.029,8.36624
661.292,8.86431
661.349,8.88205
661.899,8.27254
661.973,8.26628
662.186,8.58527
662.744,10.6883
662.902,10.8909
663.108,10.5403
663.378,9.20141
663.783,6.77871
663.977,5.93765
664.172,5.38205
664.399,5.01639
664.691,4.80663
665.6,4.65083
673.682,4.22894
674.669,4.15051
675.067,4.24201
675.266,4.4875
675.428,4.96967
675.557,5.69298
675.667,6.69022
675.778,8.17784
675.888,10.3082
675.993,13.0654
676.109,17.0731
676.251,23.4261
676.437,33.9071
676.785,54.9866
676.964,62.3816
677.135,64.7975
677.289,62.6558
677.483,54.914
677.952,28.1244
678.102,21.2401
678.231,16.6146
678.36,13.155
678.489,10.692
678.618,9.00874
678.746,7.89238
678.912,7.00689
679.133,6.3699
679.465,5.91373
680.165,5.49422
681.693,5.12966
685.437,4.84306
686.158,4.82791
687.555,4.99537
689.042,4.74231
707.016,4.41095
707.85,4.46942
708.306,4.70409
709.116,5.53504
709.29,5.58599
709.645,5.38836
710.294,4.64348
710.75,4.38075
712.305,4.22834
715.831,3.98413
716.193,4.08217
716.374,4.2944
716.555,4.79066
716.682,5.44683
716.806,6.46148
716.913,7.73239
717.019,9.46977
717.143,12.1934
717.27,15.8099
717.428,21.539
717.882,40.5771
718.064,45.687
718.234,47.3293
718.41,45.4495
718.6,39.9572
719.062,21.412
719.221,16.2181
719.363,12.6354
719.505,10.0106
719.647,8.19236
719.789,6.98819
719.959,6.09791
720.129,5.58064
720.469,5.07191
720.952,4.75217
721.399,4.63055
721.591,4.6909
721.777,4.93791
721.895,5.27714
722.012,5.85171
722.13,6.77082
722.244,8.11675
722.354,9.9764
722.464,12.5077
722.593,16.4387
722.74,22.29
722.953,32.9547
723.247,48.5699
723.447,56.1575
723.626,58.6914
723.635,58.6957
723.788,56.9594
723.982,50.4892
724.494,25.3083
724.658,18.9001
724.805,14.5829
724.934,11.8212
725.063,9.851
725.21,8.34095
725.364,7.3486
725.482,6.86077
725.717,6.28323
726.187,5.77874
727.069,5.38651
728.422,5.11041
731.588,4.83912
743.422,4.52252
751.716,4.39671
752.646,4.49161
753.135,4.79967
753.848,5.44892
753.989,5.47884
754.397,5.25938
755.146,4.53129
755.603,4.3521
756.953,4.25768
757.501,4.37646
757.754,4.67671
757.965,5.25047
758.123,5.98997
758.281,7.07118
758.487,9.02565
758.957,14.5705
759.176,16.3132
759.334,16.7205
759.536,16.0813
759.761,14.124
760.228,8.91691
760.438,7.17059
760.614,6.16746
760.818,5.43598
760.987,5.08159
761.324,4.7464
762.167,4.53441
766.009,4.35454
766.651,4.35428
767.213,4.42053
767.615,4.65545
767.928,5.09095
768.667,6.65849
768.899,6.82197
769.165,6.59959
769.92,4.96438
770.105,4.69267
770.506,4.38174
771.43,4.2458
780.036,4.05337
780.677,4.10453
781.174,4.34142
782.008,5.13062
782.189,5.17821
782.545,4.99868
783.346,4.17306
783.803,3.96986
787.229,3.68178
787.602,3.73701
787.852,3.96173
788.038,4.41471
788.174,5.03954
788.302,5.99205
788.412,7.19419
788.522,8.85173
788.65,11.4795
788.789,15.2906
788.943,20.6853
789.214,32.3953
789.487,43.8579
789.68,49.1035
789.835,50.4678
790.017,48.5287
790.213,42.7873
790.711,22.3363
790.888,16.5126
791.034,12.8306
791.162,10.4269
791.291,8.67581
791.437,7.30317
791.602,6.3306
791.767,5.74745
792.041,5.2358
792.554,4.84258
793.433,4.55621
795.426,4.28026
800.129,4.01862
818.303,3.33767
822.315,3.12358
822.747,3.19317
823.013,3.40296
823.235,3.81084
823.407,4.35432
823.597,5.25377
823.821,6.70531
824.255,9.92714
824.473,10.967
824.624,11.1936
824.823,10.8065
825.047,9.59841
825.539,6.04159
825.762,4.82476
825.958,4.09024
826.145,3.64276
826.369,3.33411
826.758,3.10454
827.679,2.94974
827.979,2.93611
828.832,3.04889
829.288,3.10889
829.832,2.99153
830.641,2.69253
831.721,2.52664
836.962,1.97379
837.699,1.94297
838.436,2.00481
838.763,2.10905
839.009,2.26464
839.173,2.44385
839.353,2.7785
839.5,3.24823
839.623,3.87191
839.721,4.60492
839.82,5.63549
839.918,7.07245
840.016,9.0516
840.109,11.5647
840.204,14.9717
840.3,19.3895
840.409,25.9052
840.53,35.1881
840.669,48.9066
840.849,70.966
