49-In-115(n,&gamma;) ENDF/B-VII.1
114.772,1.41332
114.845,1.0037
114.905,0.742148
114.954,0.577083
114.999,0.460136
115.044,0.369731
115.095,0.292031
115.148,0.233652
115.195,0.196423
115.248,0.16508
115.311,0.138871
115.382,0.117763
115.471,0.0994761
115.56,0.0866166
115.698,0.0729163
115.871,0.0618739
116.043,0.0546488
116.279,0.0482824
116.558,0.0437822
117.003,0.0402139
117.5,0.0391198
118.082,0.0403052
118.499,0.0427662
118.944,0.0476956
119.231,0.0533344
119.457,0.0607761
119.618,0.069658
119.727,0.0793059
119.816,0.0916061
119.894,0.108414
119.961,0.130452
120.017,0.157093
120.072,0.194371
120.128,0.245684
120.184,0.314425
120.248,0.418302
120.326,0.582378
120.529,1.07933
120.612,1.21478
120.68,1.25175
120.744,1.2191
120.809,1.12485
120.916,0.882354
121.047,0.559605
121.114,0.425119
121.18,0.320836
121.241,0.249364
121.296,0.20253
121.354,0.167437
121.421,0.140155
121.499,0.120285
121.588,0.107051
121.677,0.0994931
121.813,0.0936567
122.035,0.0912751
122.294,0.0941389
122.639,0.103944
123.028,0.122885
123.362,0.148086
123.629,0.177492
123.863,0.213697
124.092,0.264116
124.292,0.328104
124.435,0.392289
124.575,0.479232
124.702,0.590937
124.811,0.729233
124.889,0.870025
124.951,1.02631
125.013,1.24843
125.06,1.48501
125.106,1.81579
125.148,2.22671
125.189,2.79595
125.23,3.56874
125.27,4.59841
125.309,5.98683
125.349,7.83196
125.388,10.2215
125.432,13.6307
125.475,17.9591
125.526,24.2593
125.59,34.0968
125.77,66.3419
125.853,76.9126
125.925,80.3768
125.93,80.3866
125.998,77.5337
126.079,67.8171
126.287,31.1219
126.351,22.0044
126.4,16.2799
126.444,12.308
126.486,9.30858
126.528,7.01076
126.565,5.45651
126.603,4.24419
126.64,3.38111
126.681,2.6524
126.723,2.12709
126.765,1.73711
126.811,1.44026
126.862,1.19923
126.927,0.990489
127.002,0.824364
127.093,0.685208
127.202,0.568437
127.334,0.469536
127.489,0.389252
127.67,0.32548
127.844,0.283438
128.075,0.245703
128.364,0.217443
128.595,0.204955
128.912,0.198328
129.269,0.202904
129.626,0.219921
129.983,0.251831
130.296,0.29671
130.584,0.359496
130.827,0.438024
131.045,0.540556
131.223,0.66049
131.392,0.821865
131.531,1.01135
131.65,1.24029
131.749,1.50804
131.838,1.84925
131.913,2.25535
131.975,2.73681
132.035,3.38319
132.088,4.20112
132.138,5.24679
132.188,6.67662
132.237,8.61958
132.285,11.105
132.332,14.3363
132.388,19.2114
132.451,26.385
132.529,37.3489
132.721,68.1679
132.802,76.9814
132.88,79.9867
132.956,77.0159
133.035,68.5609
133.184,44.868
133.281,29.9632
133.348,21.6344
133.404,16.23
133.456,12.2607
133.506,9.40468
133.556,7.25849
133.605,5.67132
133.652,4.56793
133.705,3.64145
133.765,2.91277
133.826,2.38561
133.902,1.9266
133.986,1.57271
134.09,1.2681
134.209,1.02494
134.348,0.825091
134.512,0.659709
134.685,0.535538
134.874,0.438344
135.082,0.360267
135.34,0.290993
135.618,0.237989
135.955,0.192392
136.312,0.158335
136.729,0.13027
137.245,0.106376
137.8,0.0889563
138.492,0.0746495
139.242,0.0649873
139.906,0.0599202
140.774,0.0574195
141.442,0.0592578
141.888,0.0635773
142.222,0.0699813
142.5,0.0794243
142.717,0.0920044
142.879,0.107419
142.975,0.121481
143.072,0.142299
143.144,0.165025
143.215,0.198272
143.277,0.240804
143.331,0.291905
143.38,0.354955
143.435,0.451155
143.491,0.580094
143.551,0.763458
143.621,1.04184
143.705,1.46038
143.905,2.5896
143.991,2.91403
144.07,3.02054
144.138,2.94304
144.217,2.6739
144.339,2.02153
144.472,1.28137
144.544,0.953203
144.611,0.716614
144.667,0.566939
144.721,0.458298
144.777,0.376742
144.825,0.329584
144.881,0.293285
144.938,0.275421
144.976,0.272537
145.04,0.283333
145.107,0.315609
145.174,0.370498
145.251,0.464017
145.347,0.617587
145.521,0.927854
145.613,1.03988
145.691,1.07371
145.779,1.03467
145.877,0.912652
146.06,0.62184
146.126,0.545555
146.181,0.507819
146.235,0.495048
146.298,0.512667
146.362,0.563402
146.451,0.680083
146.638,0.972889
146.721,1.05198
146.776,1.06793
146.864,1.02821
146.963,0.900769
147.192,0.495399
147.279,0.376148
147.356,0.298263
147.419,0.254153
147.497,0.217346
147.563,0.197943
147.67,0.182203
147.79,0.177753
147.991,0.186084
148.238,0.21329
148.444,0.250816
148.608,0.294501
148.761,0.35127
148.894,0.420931
149.023,0.516409
149.124,0.626132
149.209,0.75954
149.276,0.915491
149.331,1.09756
149.379,1.32067
149.428,1.63317
149.469,2.00293
149.513,2.54205
149.552,3.17765
149.59,4.01216
149.634,5.27526
149.677,6.87836
149.719,8.94053
149.765,11.799
149.816,15.7408
149.882,22.2038
149.968,32.5356
150.12,51.9683
150.208,59.8236
150.285,62.3866
150.29,62.3939
150.363,60.2863
150.449,53.0726
150.593,34.8823
150.692,22.7449
150.757,16.2835
150.81,12.0872
150.861,8.90194
150.906,6.75905
150.951,5.11568
150.99,4.00137
151.034,3.07863
151.078,2.39268
151.122,1.89404
151.166,1.53222
151.213,1.25445
151.268,1.02372
151.323,0.861205
151.392,0.717725
151.469,0.604515
151.566,0.50389
151.681,0.418043
151.811,0.349022
151.976,0.286309
152.141,0.24155
152.366,0.198628
152.635,0.16377
152.938,0.137548
153.327,0.115688
153.794,0.0998051
154.328,0.0898244
154.773,0.0859224
155.04,0.0852647
155.392,0.0871994
155.579,0.0916849
155.706,0.0988641
155.811,0.10992
155.913,0.126908
156.037,0.15757
156.26,0.222607
156.375,0.242273
156.428,0.244617
156.54,0.23459
156.683,0.200946
156.857,0.15546
156.952,0.137978
157.043,0.127334
157.157,0.121409
157.194,0.120871
157.346,0.124134
157.49,0.134726
157.598,0.149644
157.697,0.17327
157.771,0.201542
157.845,0.244238
157.909,0.297003
157.972,0.369183
158.042,0.476001
158.123,0.635634
158.244,0.940362
158.373,1.27607
158.471,1.4578
158.561,1.51783
158.649,1.46138
158.747,1.28411
158.987,0.680199
159.068,0.520558
159.138,0.413593
159.211,0.332228
159.275,0.283056
159.338,0.248998
159.402,0.226106
159.486,0.207433
159.62,0.193993
159.774,0.190432
159.958,0.193909
160.252,0.208988
160.562,0.235066
160.872,0.273918
161.123,0.321581
161.301,0.375619
161.413,0.429894
161.511,0.504315
161.586,0.59003
161.662,0.711466
161.738,0.879094
161.827,1.14494
161.947,1.61257
162.13,2.36746
162.226,2.62773
162.313,2.70641
162.406,2.6155
162.535,2.27002
162.713,1.71688
162.78,1.5667
162.873,1.43815
162.967,1.40379
163.056,1.44805
163.167,1.59385
163.279,1.83576
163.399,2.22827
163.494,2.68282
163.579,3.28151
163.64,3.8942
163.693,4.64262
163.747,5.68583
163.794,6.95201
163.841,8.68671
163.885,10.9072
163.929,13.8839
163.974,17.8372
164.02,23.2359
164.066,30.4201
164.118,40.5371
164.174,54.8165
164.239,75.7719
164.333,112.688
164.502,185.362
164.596,213.423
164.68,222.119
164.753,215.254
164.829,195.273
164.95,146.566
165.082,89.9852
165.159,62.9132
165.22,45.7046
165.275,33.7342
165.322,25.7807
165.366,20.098
165.413,15.3541
165.46,11.8268
165.507,9.23636
165.552,7.43716
165.598,6.06953
165.65,4.93753
165.703,4.12436
165.762,3.46354
165.844,2.82548
165.942,2.30961
166.06,1.88918
166.198,1.55392
166.358,1.28944
