13-Al-27(n,&gamma;) ENDF/B-VII.1
260543.0,0.00549603
260569.0,0.0067953
260593.0,0.00852558
260614.0,0.0105613
260633.0,0.0133147
260651.0,0.0168163
260666.0,0.0209742
260682.0,0.0267004
260695.0,0.0335007
260710.0,0.0431979
260726.0,0.0580812
260759.0,0.0919228
260775.0,0.101041
260782.0,0.10215
260793.0,0.0994239
260807.0,0.0894382
260845.0,0.0512122
260861.0,0.0385405
260874.0,0.0303453
260888.0,0.024333
260901.0,0.0197202
260917.0,0.0158304
260935.0,0.0126119
260953.0,0.0102731
260973.0,0.00831651
260995.0,0.00679672
261020.0,0.00549548
261050.0,0.00442342
261080.0,0.00361746
261119.0,0.00289806
261159.0,0.00235649
261208.0,0.00190102
261261.0,0.00154808
261321.0,0.0012727
261388.0,0.00105322
261470.0,8.64942E-4
261572.0,7.09526E-4
261674.0,6.0335E-4
261802.0,5.12713E-4
261955.0,4.40572E-4
262159.0,3.79439E-4
262389.0,3.37037E-4
262720.0,3.01467E-4
263230.0,2.75058E-4
263982.0,2.63334E-4
264141.0,2.63012E-4
265180.0,2.731E-4
266099.0,2.98165E-4
266698.0,3.29216E-4
267057.0,3.61761E-4
267357.0,4.08662E-4
267561.0,4.63546E-4
267704.0,5.26515E-4
267824.0,6.08512E-4
267920.0,7.09454E-4
267992.0,8.20709E-4
268064.0,9.84164E-4
268127.0,0.0012001
268176.0,0.00144725
268221.0,0.0017762
268256.0,0.00213951
268291.0,0.0026521
268320.0,0.00326423
268348.0,0.0040826
268372.0,0.00508692
268393.0,0.00626223
268414.0,0.00784523
268437.0,0.0101408
268461.0,0.0134585
268500.0,0.0195887
268516.0,0.021492
268535.0,0.0223969
268553.0,0.0216349
268575.0,0.01895
268619.0,0.0120157
268641.0,0.00932514
268661.0,0.007471
268684.0,0.00587124
268707.0,0.00471129
268733.0,0.00375865
268759.0,0.00310239
268789.0,0.00252824
268827.0,0.00203609
268866.0,0.00167306
268913.0,0.00137967
268965.0,0.00115195
269028.0,9.66264E-4
269108.0,8.12282E-4
269219.0,6.83556E-4
269346.0,5.96041E-4
269479.0,5.41423E-4
269657.0,4.99709E-4
269922.0,4.69877E-4
270365.0,4.564E-4
271074.0,4.70787E-4
272492.0,5.43307E-4
274760.0,7.13612E-4
277454.0,9.26089E-4
278871.0,9.82404E-4
279296.0,9.85652E-4
280714.0,9.48118E-4
282699.0,8.04617E-4
285676.0,5.56175E-4
287377.0,4.45414E-4
289149.0,3.58658E-4
290921.0,2.94361E-4
293047.0,2.40354E-4
295174.0,2.04002E-4
297300.0,1.80492E-4
299781.0,1.66057E-4
301287.0,1.63421E-4
303426.0,1.69191E-4
305261.0,1.85627E-4
306689.0,2.09687E-4
307912.0,2.41946E-4
309136.0,2.90132E-4
310155.0,3.46952E-4
311297.0,4.34309E-4
313785.0,6.77367E-4
314641.0,7.23065E-4
314968.0,7.26587E-4
315742.0,7.01821E-4
316844.0,6.07708E-4
318638.0,4.26255E-4
319739.0,3.39896E-4
320759.0,2.79054E-4
321982.0,2.26065E-4
323206.0,1.88364E-4
324633.0,1.57388E-4
326265.0,1.32952E-4
328304.0,1.12747E-4
330751.0,9.76356E-5
333809.0,8.70655E-5
337072.0,8.25482E-5
337888.0,8.2404E-5
340335.0,8.54103E-5
341558.0,9.14232E-5
342170.0,9.67817E-5
342782.0,1.06908E-4
343190.0,1.19539E-4
343495.0,1.36072E-4
343699.0,1.5335E-4
343852.0,1.70918E-4
344031.0,2.02847E-4
344158.0,2.37538E-4
344260.0,2.77152E-4
344362.0,3.32062E-4
344445.0,3.98355E-4
344519.0,4.81872E-4
344582.0,5.80659E-4
344639.0,7.05541E-4
344687.0,8.5335E-4
344732.0,0.0010425
344773.0,0.00128675
344810.0,0.00159258
344842.0,0.00196847
344872.0,0.00244544
344898.0,0.00304539
344922.0,0.0037882
344942.0,0.00468462
344962.0,0.00582661
344979.0,0.00727156
344996.0,0.00907048
345012.0,0.0115626
345029.0,0.0149116
345047.0,0.0197657
345084.0,0.0311365
345100.0,0.034343
345112.0,0.0351193
345126.0,0.0340066
345142.0,0.030579
345185.0,0.0175255
345202.0,0.0134598
345218.0,0.0104769
345235.0,0.00827311
345253.0,0.00655767
345272.0,0.0051937
345293.0,0.00415897
345314.0,0.00339149
345337.0,0.00276731
345366.0,0.00220981
345398.0,0.00176552
345434.0,0.00141941
345475.0,0.00113746
345521.0,9.18461E-4
345574.0,7.40066E-4
345634.0,6.00027E-4
345695.0,4.97561E-4
345772.0,4.0832E-4
345843.0,3.49561E-4
345937.0,2.93686E-4
346055.0,2.45946E-4
346202.0,2.06613E-4
346350.0,1.80617E-4
346527.0,1.5969E-4
346762.0,1.41838E-4
347116.0,1.26493E-4
347588.0,1.16183E-4
348295.0,1.10097E-4
348884.0,1.08924E-4
350438.0,1.13273E-4
352364.0,1.27496E-4
354015.0,1.47877E-4
355391.0,1.74019E-4
356492.0,2.05848E-4
357318.0,2.42386E-4
357868.0,2.79097E-4
358349.0,3.28447E-4
358693.0,3.83503E-4
358969.0,4.52978E-4
359134.0,5.14919E-4
359299.0,6.04106E-4
359443.0,7.20114E-4
359564.0,8.6489E-4
359660.0,0.00103408
359736.0,0.00122138
359804.0,0.00145726
359868.0,0.00176145
359930.0,0.00218208
359982.0,0.00267996
360030.0,0.00333349
360073.0,0.0041522
360114.0,0.00525258
360150.0,0.00658098
360184.0,0.0082773
360225.0,0.0109119
360306.0,0.0173161
360331.0,0.0185447
360350.0,0.018863
360377.0,0.0182773
360416.0,0.0158235
360487.0,0.010186
360527.0,0.00776348
360561.0,0.0062077
360599.0,0.00494433
360640.0,0.00395167
360682.0,0.00322316
360733.0,0.00260737
360787.0,0.00213696
360844.0,0.00179122
360912.0,0.00149812
360986.0,0.00127392
361073.0,0.00109546
361188.0,9.39573E-4
361304.0,8.38691E-4
361419.0,7.72866E-4
361592.0,7.1714E-4
361766.0,6.85261E-4
361997.0,6.72818E-4
362343.0,6.90614E-4
362805.0,7.54895E-4
363383.0,8.87672E-4
363960.0,0.00108316
364538.0,0.00134958
365231.0,0.00177999
366455.0,0.00265884
367010.0,0.00287983
367264.0,0.00290367
367795.0,0.0027904
368433.0,0.00242378
369621.0,0.00157295
370259.0,0.00122395
370809.0,9.98892E-4
371469.0,8.0597E-4
372129.0,6.75069E-4
372789.0,5.90862E-4
373453.0,5.4634E-4
373817.0,5.39265E-4
374326.0,5.54475E-4
374733.0,5.93408E-4
375199.0,6.77165E-4
376182.0,9.48114E-4
376450.0,9.75134E-4
376770.0,9.38125E-4
377236.0,7.91316E-4
377818.0,5.98113E-4
378254.0,4.92674E-4
378764.0,4.09151E-4
379273.0,3.54479E-4
379855.0,3.14735E-4
380582.0,2.86566E-4
381455.0,2.74399E-4
381528.0,2.74305E-4
382322.0,2.83399E-4
383013.0,3.10499E-4
383589.0,3.55529E-4
384050.0,4.16831E-4
384453.0,5.01324E-4
384798.0,6.08981E-4
385144.0,7.61845E-4
385662.0,0.00107217
385973.0,0.00123889
386215.0,0.00128952
386423.0,0.00125539
386734.0,0.00109959
387275.0,7.67897E-4
387621.0,6.09077E-4
387966.0,4.96032E-4
388312.0,4.17015E-4
388657.0,3.61271E-4
389118.0,3.10479E-4
389629.0,2.75393E-4
390157.0,2.5005E-4
390684.0,2.344E-4
391476.0,2.1773E-4
392531.0,2.0823E-4
393586.0,2.05867E-4
395697.0,2.13619E-4
398335.0,2.39403E-4
400973.0,2.80321E-4
403612.0,3.39586E-4
406672.0,4.33282E-4
413215.0,6.82294E-4
415748.0,7.30584E-4
418069.0,7.54203E-4
418703.0,8.01419E-4
419019.0,8.67847E-4
419177.0,9.2613E-4
419388.0,0.00105354
419520.0,0.00119684
419652.0,0.0014322
419745.0,0.00169873
419817.0,0.00201377
419886.0,0.00245267
419945.0,0.00298428
420003.0,0.0037169
420060.0,0.00472099
420195.0,0.00772474
420233.0,0.00822663
420255.0,0.00830755
420283.0,0.00816957
420332.0,0.00738885
420447.0,0.00475437
420504.0,0.00374769
420561.0,0.00300847
420623.0,0.00243206
420689.0,0.00200694
420757.0,0.00169924
420838.0,0.00143973
420940.0,0.00122399
421061.0,0.00105365
421191.0,9.32849E-4
421370.0,8.26047E-4
421614.0,7.39579E-4
421971.0,6.59454E-4
422491.0,5.96969E-4
423271.0,5.34975E-4
425091.0,4.44841E-4
427690.0,3.53414E-4
430550.0,2.79975E-4
433669.0,2.22318E-4
437049.0,1.77844E-4
440688.0,1.43738E-4
444588.0,1.17716E-4
449267.0,9.57578E-5
454466.0,7.93817E-5
459405.0,6.94737E-5
463305.0,6.46604E-5
465904.0,6.34839E-5
468829.0,6.55013E-5
469804.0,6.74125E-5
471428.0,7.43854E-5
472403.0,8.23464E-5
473215.0,9.44435E-5
473859.0,1.0939E-4
474329.0,1.26543E-4
474720.0,1.48387E-4
475034.0,1.73213E-4
475347.0,2.07695E-4
475621.0,2.5237E-4
475855.0,3.07242E-4
476051.0,3.70762E-4
476271.0,4.71319E-4
476428.0,5.73074E-4
476587.0,7.10791E-4
476744.0,8.91313E-4
476916.0,0.00115417
477237.0,0.00174097
477372.0,0.00189141
477441.0,0.00191073
477575.0,0.00182606
477752.0,0.00154002
478002.0,0.00108343
478180.0,8.30429E-4
478339.0,6.62523E-4
478499.0,5.37914E-4
478690.0,4.29621E-4
478881.0,3.5234E-4
479104.0,2.88136E-4
479327.0,2.42406E-4
479582.0,2.04929E-4
479900.0,1.72354E-4
480282.0,1.46243E-4
480664.0,1.28845E-4
481174.0,1.13771E-4
481684.0,1.04503E-4
482527.0,9.68701E-5
483111.0,9.53225E-5
484045.0,9.80691E-5
484979.0,1.07749E-4
485680.0,1.2159E-4
486264.0,1.40129E-4
486731.0,1.62343E-4
487198.0,1.95119E-4
487607.0,2.37638E-4
487957.0,2.90136E-4
488249.0,3.50558E-4
488541.0,4.3225E-4
488833.0,5.40156E-4
489533.0,8.67601E-4
489767.0,9.34385E-4
489884.0,9.44467E-4
490119.0,9.12534E-4
490445.0,7.83628E-4
490965.0,5.42761E-4
491268.0,4.35888E-4
491571.0,3.57777E-4
491859.0,3.05245E-4
492148.0,2.69269E-4
492437.0,2.46838E-4
492761.0,2.36738E-4
492797.0,2.36687E-4
493068.0,2.45217E-4
493292.0,2.66563E-4
493488.0,3.02692E-4
493644.0,3.5011E-4
493785.0,4.13609E-4
