20-Ca-44(n,&gamma;) ENDF/B-VII.1
39938.1,4.82121E-4
41243.2,5.83375E-4
41994.9,6.66843E-4
42034.6,6.93639E-4
42040.1,7.12707E-4
42042.9,7.41351E-4
42044.7,7.85648E-4
42046.5,8.77001E-4
42047.9,0.00100314
42049.1,0.00116997
42050.0,0.00137657
42051.2,0.00171344
42052.2,0.00212984
42053.2,0.00268627
42054.3,0.00351859
42055.4,0.00461268
42056.7,0.00618394
42058.1,0.00838841
42059.8,0.011923
42062.6,0.0187479
42065.8,0.0267634
42068.0,0.0305971
42070.0,0.0317401
42071.9,0.0306248
42073.9,0.0274533
42077.0,0.0198618
42079.8,0.0127173
42081.6,0.00898568
42083.0,0.00663311
42084.3,0.00494493
42085.4,0.00376394
42086.5,0.00291842
42087.5,0.002277
42088.6,0.00180219
42089.7,0.00145884
42090.8,0.00119406
42092.0,0.00101834
42093.4,8.87025E-4
42094.9,8.10805E-4
42096.7,7.57318E-4
42100.5,7.18486E-4
42115.6,6.93616E-4
42145.8,6.8547E-4
42966.2,7.93427E-4
43978.8,9.86586E-4
44778.2,0.00120106
45524.4,0.00147983
46163.9,0.00180972
46750.2,0.00222395
47283.1,0.00274558
47762.8,0.00339258
48189.1,0.0041839
48562.2,0.00512816
48935.2,0.00641485
49255.0,0.0079299
49574.8,0.0100062
49841.3,0.0123659
50107.7,0.0154905
50374.2,0.0197042
50662.0,0.0256687
51269.6,0.0410828
51493.4,0.0443128
51582.9,0.0446305
51781.2,0.0431439
52037.0,0.0377742
52538.0,0.0246981
52825.8,0.0188563
53092.3,0.0147613
53358.7,0.0117386
53625.2,0.0094626
53945.0,0.00746477
54264.8,0.0060103
54637.8,0.00477787
55010.9,0.00387574
55437.2,0.00312179
55916.9,0.00250737
56449.8,0.00201391
57036.1,0.00162382
57675.6,0.00131472
58421.8,0.00105511
59274.5,8.45633E-4
60127.2,6.95352E-4
61193.1,5.61745E-4
62259.0,4.65456E-4
63538.1,3.83696E-4
65030.3,3.17814E-4
66522.6,2.72076E-4
68121.5,2.39278E-4
69720.3,2.17105E-4
71452.4,2.06777E-4
71585.6,2.06651E-4
72651.5,2.13657E-4
72918.0,2.17527E-4
73451.0,2.34208E-4
73717.4,2.49033E-4
74050.5,2.8103E-4
74250.4,3.09108E-4
74450.2,3.5528E-4
74583.5,4.00333E-4
74683.4,4.45812E-4
74816.6,5.29537E-4
74916.6,6.22643E-4
74999.8,7.3401E-4
75080.1,8.81551E-4
75150.9,0.0010697
75211.6,0.0012959
75262.2,0.00155982
75302.6,0.00184311
75343.1,0.00222324
75383.7,0.00273627
75419.8,0.00338916
75450.7,0.00417096
75478.9,0.00516562
75505.3,0.00646514
75527.7,0.0080072
75546.7,0.00982494
75563.8,0.0120567
75580.1,0.0149944
75594.9,0.0187252
75608.8,0.0236341
75619.1,0.0287041
75629.0,0.0352787
75638.3,0.0437825
75646.3,0.0537468
75654.1,0.0671546
75660.9,0.0834673
75667.1,0.104148
75672.5,0.129107
75677.4,0.159446
75682.1,0.19988
75686.5,0.250057
75691.2,0.321953
75695.9,0.419186
75702.1,0.581722
75711.8,0.853306
75716.2,0.930992
75719.9,0.953686
75724.9,0.913696
75729.9,0.805102
75741.9,0.465926
75746.8,0.356445
75751.6,0.272954
75756.4,0.212785
75761.1,0.169639
75765.7,0.137746
75771.2,0.11042
75776.7,0.0900618
75782.8,0.0734397
75789.8,0.0595028
75798.4,0.0472634
75806.9,0.0384524
75816.2,0.0313899
75827.1,0.0253728
75839.5,0.0204042
75853.1,0.0164766
75867.5,0.0134485
75883.8,0.0109315
75903.4,0.00875008
75923.2,0.00715871
75946.3,0.0058105
75972.3,0.00470597
76003.4,0.0037637
76034.5,0.00308719
76073.3,0.00247986
76112.2,0.0020441
76160.7,0.00165313
76209.2,0.00137298
76271.4,0.00111749
76341.3,9.15416E-4
76422.9,7.51937E-4
76504.4,6.3668E-4
76620.9,5.23231E-4
76745.2,4.42348E-4
76900.6,3.75089E-4
77087.0,3.2261E-4
77288.9,2.85721E-4
77599.6,2.5059E-4
78019.1,2.24113E-4
78715.4,2.03719E-4
79668.8,1.9297E-4
80431.5,1.91058E-4
82719.6,2.01213E-4
84506.7,2.23771E-4
85291.7,2.41648E-4
85815.1,2.63591E-4
86142.2,2.90608E-4
86381.1,3.28756E-4
86509.0,3.66619E-4
86623.6,4.2399E-4
86700.9,4.87393E-4
86764.8,5.69165E-4
86820.8,6.79589E-4
86867.4,8.22205E-4
86904.7,9.94468E-4
86934.0,0.00119113
86962.0,0.00146222
86986.0,0.00180054
87004.7,0.00217139
87022.7,0.00267377
87038.6,0.00330929
87052.6,0.00409808
87064.3,0.00501749
87074.3,0.00609884
87083.8,0.00751755
87091.8,0.0091422
87099.3,0.0112652
87105.8,0.0138147
87111.4,0.016813
87116.3,0.0204159
87121.1,0.0252835
87125.1,0.0309844
87128.9,0.0385143
87132.1,0.0477051
87134.6,0.0577439
87136.9,0.0701241
87139.2,0.0866553
87141.5,0.10767
87144.0,0.14
87146.6,0.183295
87149.4,0.244517
87152.2,0.325031
87156.7,0.47995
87162.7,0.69695
87166.3,0.787958
87169.9,0.821918
87169.9,0.821912
87172.9,0.798658
87176.2,0.724259
87181.6,0.535062
87187.0,0.343929
87190.2,0.251237
87192.9,0.189159
87195.2,0.148029
87197.5,0.117061
87199.8,0.092779
87202.2,0.0746226
87204.7,0.0600721
87207.4,0.0489059
87210.1,0.0406979
87213.5,0.0332138
87217.2,0.0272007
87221.2,0.0225145
87226.1,0.0184103
87231.7,0.0149563
87238.4,0.0120259
87245.1,0.009912
87254.0,0.00790415
87263.7,0.0063553
87274.9,0.00507959
87286.2,0.00416896
87297.5,0.00349595
87311.5,0.00288229
87326.5,0.00240287
87344.8,0.00197611
87367.3,0.00160388
87392.0,0.00132089
87418.9,0.00110489
87451.1,9.2726E-4
87485.4,7.91352E-4
87524.1,6.8381E-4
87575.7,5.85816E-4
87640.1,5.09567E-4
87713.1,4.51492E-4
87816.3,4.01341E-4
87971.0,3.63797E-4
88160.1,3.39781E-4
88503.9,3.26528E-4
88641.4,3.25501E-4
89466.6,3.40634E-4
90773.0,3.94904E-4
92010.8,4.72669E-4
93111.0,5.70365E-4
94211.2,7.08839E-4
95173.9,8.80723E-4
95999.0,0.00108647
96824.1,0.00137236
97511.8,0.00170056
98199.4,0.00213503
98969.5,0.00278854
100675.0,0.00461002
101280.0,0.00495082
101456.0,0.00497088
102050.0,0.00476571
102600.0,0.00442295
102731.0,0.00455494
102793.0,0.00483784
102824.0,0.00517456
102855.0,0.00580679
102875.0,0.00661819
102891.0,0.00766152
102901.0,0.00876346
102910.0,0.0102167
102918.0,0.0120747
102924.0,0.0142905
102929.0,0.0172768
102934.0,0.0208132
102937.0,0.0247343
102940.0,0.0293472
102942.0,0.0360013
