74-W-186(n,&gamma;) ENDF/B-VII.1
680.402,0.338825
683.192,0.307358
685.797,0.299167
688.866,0.310074
691.75,0.338598
694.401,0.383694
697.192,0.456973
699.331,0.539012
701.494,0.656275
703.534,0.815693
705.242,1.00601
706.681,1.22955
707.96,1.50349
709.18,1.8671
710.125,2.25823
711.038,2.78868
711.708,3.35216
712.113,3.86123
712.296,4.21737
712.458,4.73243
712.58,5.38819
712.681,6.26286
712.762,7.30038
712.854,8.98645
712.94,11.263
713.029,14.5086
713.117,18.8733
713.219,25.4341
713.335,35.0398
713.513,53.4204
713.736,76.7409
713.87,86.3701
714.006,89.9682
714.14,86.6205
714.292,75.6653
714.657,38.9788
714.783,28.8582
714.889,22.4988
714.98,18.4603
715.068,15.6992
715.173,13.5547
715.279,12.3593
715.419,11.7396
715.472,11.6982
715.666,12.0664
716.017,13.8051
716.432,16.9318
716.826,21.1571
717.17,26.3017
717.508,33.2581
717.831,42.47
718.148,54.7654
718.464,71.0195
719.069,110.722
719.395,129.95
719.702,139.445
719.795,140.017
720.07,135.099
720.368,120.491
721.128,70.8474
721.445,54.5264
721.762,42.2408
722.064,33.5451
722.402,26.4344
722.76,20.9799
723.154,16.6685
723.569,13.3886
724.019,10.7995
724.511,8.73307
725.073,7.01757
725.678,5.67949
726.353,4.59041
727.155,3.65936
728.041,2.92641
728.941,2.38472
730.066,1.89558
731.219,1.53561
732.569,1.23112
734.003,0.997522
735.522,0.816944
737.294,0.662372
739.066,0.547593
741.175,0.446388
743.706,0.358442
746.66,0.285502
749.613,0.233086
752.988,0.189403
756.363,0.157395
760.863,0.126075
765.925,0.101208
771.551,0.0815994
777.176,0.0675534
783.926,0.055359
791.801,0.0453772
800.801,0.0377513
807.551,0.0341707
812.051,0.0329109
814.301,0.0326234
817.676,0.0335562
819.926,0.0356483
821.614,0.0384996
823.02,0.0429846
824.235,0.0495119
825.169,0.0577466
825.916,0.0681526
826.533,0.0811496
827.02,0.0960376
827.425,0.113542
827.787,0.135526
828.136,0.166007
828.42,0.201837
828.665,0.245985
828.84,0.290503
829.004,0.350806
829.124,0.415516
829.229,0.49862
829.319,0.603244
829.393,0.727669
829.461,0.882408
829.523,1.07619
829.586,1.33578
829.654,1.72315
829.717,2.19718
829.779,2.82121
829.84,3.61551
829.91,4.79818
829.98,6.33865
830.058,8.58607
830.139,11.5713
830.227,15.6358
830.332,21.7398
830.476,32.1917
830.795,57.8542
830.952,66.7405
831.094,69.71
831.1,69.7139
831.236,67.1711
831.371,60.1202
831.587,43.3971
831.799,26.4948
831.911,19.0898
832.011,13.7708
832.098,10.0983
832.173,7.62114
832.248,5.68635
832.315,4.33935
832.382,3.30166
832.45,2.51472
832.517,1.92611
832.584,1.49079
832.652,1.17151
832.722,0.931113
832.797,0.747262
832.871,0.616773
832.959,0.509843
833.046,0.434767
833.166,0.363311
833.305,0.306378
833.48,0.256721
833.705,0.21187
833.954,0.176428
834.254,0.145984
834.593,0.121412
835.012,0.100067
835.501,0.0828663
836.01,0.0703453
836.669,0.0590856
837.327,0.0512808
838.197,0.0441524
839.502,0.0373215
840.806,0.032883
842.819,0.0288002
844.831,0.0261494
847.783,0.0237626
852.614,0.0216138
856.907,0.0205391
867.641,0.0194188
870.861,0.0193401
883.201,0.0201053
892.321,0.0217986
900.871,0.0246486
908.281,0.0285746
915.121,0.0342277
920.821,0.0413834
925.951,0.050879
929.941,0.0616424
933.361,0.0745817
936.211,0.0893934
939.06,0.109831
941.625,0.135675
943.977,0.169144
945.972,0.20881
947.842,0.261405
949.409,0.32314
950.763,0.396645
952.041,0.492666
953.096,0.601789
954.121,0.747445
955.045,0.930554
955.872,1.15861
956.559,1.42004
957.243,1.78047
957.827,2.21104
958.326,2.71717
958.825,3.42154
959.245,4.25564
