48-Cd-106(n,&gamma;) ENDF/B-VII.1
3434.89,26.4309
3435.18,24.0737
3435.55,22.6147
3435.62,22.5441
3435.97,23.2174
3436.33,25.4589
3437.45,35.8676
3437.92,37.6556
3437.96,37.6655
3438.34,36.5416
3438.81,32.2629
3439.59,21.524
3440.1,14.7034
3440.48,10.5459
3440.79,7.92064
3441.08,6.03459
3441.34,4.72773
3441.61,3.72269
3441.89,2.94076
3442.14,2.42943
3442.46,1.96497
3442.75,1.65391
3443.08,1.39471
3443.5,1.16315
3444.03,0.960278
3444.65,0.789677
3445.39,0.648548
3446.25,0.529794
3447.3,0.427672
3448.42,0.349413
3449.7,0.285075
3451.14,0.232895
3452.71,0.191435
3454.54,0.156124
3456.69,0.12631
3459.2,0.101475
3462.02,0.0816882
3464.96,0.0669499
3468.51,0.0541064
3472.28,0.0443061
3476.89,0.0357365
3482.01,0.0290044
3487.87,0.0235325
3493.73,0.0195992
3500.25,0.0163717
3509.2,0.013258
3518.63,0.0109041
3530.08,0.00894065
3541.54,0.00753806
3552.99,0.00656349
3568.26,0.00560608
3579.71,0.00508915
3594.98,0.00463965
3614.07,0.00440903
3628.25,0.00461389
3636.42,0.00502465
3641.87,0.00561034
3645.96,0.00636684
3649.14,0.0072825
3651.87,0.00852485
3654.14,0.0100936
3655.96,0.0119532
3657.6,0.0144223
3658.97,0.0174276
3660.19,0.0213105
3661.24,0.0261363
3662.1,0.0318022
3662.88,0.0391968
3663.45,0.0466285
3663.99,0.0569906
3664.34,0.0665035
3664.69,0.0803554
3664.95,0.0957772
3665.2,0.117295
3665.42,0.144748
3665.61,0.177835
3665.79,0.223453
3665.97,0.283878
3666.15,0.362619
3666.32,0.467589
3666.5,0.606138
3666.67,0.78687
3666.85,1.03358
3667.05,1.37437
3667.27,1.86495
3667.5,2.53241
3667.74,3.42055
3668.04,4.78473
3668.44,7.02113
3669.3,12.2807
3669.7,14.0464
3670.1,14.7297
3670.13,14.733
3670.49,14.246
3670.84,12.9312
3671.37,9.91092
3672.02,5.84821
3672.37,4.06424
3672.62,3.03189
3672.87,2.22383
3673.09,1.63953
3673.28,1.25729
3673.47,0.943494
3673.64,0.734553
3673.81,0.571283
3673.98,0.445244
3674.15,0.347433
3674.3,0.279624
3674.49,0.218655
3674.68,0.174406
3674.86,0.142295
3675.08,0.115621
3675.33,0.0946711
3675.59,0.079613
3675.9,0.0674501
3676.33,0.0556955
3676.88,0.0457741
3677.5,0.0379173
3678.25,0.0312139
3679.2,0.0252789
3680.24,0.0207355
3681.51,0.0169283
3682.86,0.0141408
