49-In-113(n,&gamma;) ENDF/B-VII.1
135.887,0.329346
136.098,0.266381
136.309,0.221497
136.59,0.179098
136.892,0.147468
137.253,0.120916
137.675,0.0994907
138.121,0.0836899
138.692,0.069695
139.381,0.0583857
140.225,0.0494928
140.975,0.0447646
141.28,0.0439093
141.509,0.0448346
141.603,0.0467562
141.697,0.0511267
141.767,0.0572636
141.837,0.0671493
141.902,0.0805946
141.978,0.102418
142.072,0.13867
142.239,0.209401
142.325,0.234255
142.4,0.241606
142.483,0.232216
142.569,0.205658
142.783,0.115011
142.861,0.0886703
142.929,0.0716203
142.997,0.0596096
143.061,0.0520282
143.131,0.0467958
143.225,0.0430038
143.366,0.040705
143.6,0.0398093
144.05,0.0405922
144.575,0.0440075
144.95,0.0487148
145.286,0.0556745
145.58,0.0654654
145.822,0.0780921
146.022,0.0940247
146.176,0.112247
146.304,0.134086
146.411,0.160397
146.497,0.191088
146.568,0.228681
146.625,0.272493
146.675,0.327193
146.725,0.405556
146.767,0.49743
146.808,0.623483
146.85,0.796058
146.892,1.03056
146.93,1.31475
146.972,1.73457
147.015,2.28361
147.063,3.07386
147.114,4.17025
147.174,5.79044
147.254,8.48244
147.436,15.3544
147.52,17.5189
147.599,18.2535
147.672,17.6336
147.752,15.6861
147.879,11.0438
147.986,7.04781
148.055,4.96037
148.11,3.6123
148.157,2.7131
148.204,2.01403
148.247,1.53261
148.289,1.16282
148.327,0.914036
148.367,0.719727
148.408,0.567002
148.45,0.455456
148.497,0.36427
148.539,0.306918
148.592,0.253973
148.651,0.213728
148.717,0.181369
148.8,0.152925
148.912,0.126456
149.055,0.103371
149.197,0.0871919
149.397,0.0713703
149.63,0.0589094
149.901,0.0491281
150.243,0.0409212
150.643,0.0346343
151.137,0.0295496
151.755,0.0254749
152.62,0.0219388
153.656,0.0193885
155.125,0.0171621
157.295,0.0153314
159.321,0.0142497
162.794,0.0132558
167.424,0.012975
172.626,0.0137345
176.664,0.0152384
180.121,0.0175528
182.426,0.0198634
184.155,0.0221969
186.46,0.0264638
188.188,0.0311982
189.629,0.0367851
191.023,0.0442964
192.084,0.0526883
192.954,0.0626801
193.636,0.074316
194.166,0.0882487
194.545,0.103981
194.805,0.1209
194.982,0.138473
195.124,0.160318
195.231,0.187068
195.313,0.220473
195.376,0.261073
195.43,0.310623
195.483,0.381482
195.531,0.470886
195.579,0.593244
195.627,0.758697
195.672,0.966533
195.72,1.24639
195.773,1.65382
195.832,2.23871
195.896,3.04674
195.981,4.36622
196.216,8.64686
196.309,9.79823
196.4,10.2036
196.483,9.85879
196.576,8.75912
196.729,6.01909
196.849,3.89337
196.918,2.87199
196.985,2.09224
197.042,1.56264
197.092,1.21119
197.142,0.940996
197.192,0.73814
197.239,0.595088
197.292,0.479212
197.339,0.406296
197.399,0.343572
197.47,0.296261
197.541,0.267808
197.612,0.25048
197.744,0.233801
197.955,0.226009
197.995,0.225912
198.348,0.236179
198.69,0.260457
199.059,0.302708
199.3,0.344342
199.47,0.389782
199.583,0.440159
199.667,0.501393
199.743,0.586067
199.813,0.705949
199.872,0.848152
199.931,1.04049
199.99,1.29367
200.061,1.68941
200.148,2.321
200.283,3.5444
200.434,4.87241
200.528,5.4045
200.61,5.55802
200.706,5.34448
200.809,4.71615
201.039,2.84873
201.137,2.233
201.21,1.914
201.283,1.70617
201.355,1.59475
201.43,1.56122
201.546,1.63008
201.662,1.80567
201.81,2.16289
201.942,2.63058
202.052,3.19014
202.144,3.85829
202.226,4.73191
202.29,5.7071
202.352,7.04665
202.411,8.83776
202.462,11.0123
202.514,13.9703
202.565,17.9727
202.615,23.2436
202.667,30.2842
202.723,40.4387
202.779,53.3775
202.84,71.4632
202.914,98.3864
203.022,147.534
203.201,233.833
203.306,269.029
203.399,279.938
203.482,271.343
203.567,246.297
203.702,185.157
203.856,111.069
203.935,79.7894
204.004,58.025
204.065,42.8555
204.118,32.7586
204.166,25.5326
204.219,19.4913
204.272,14.9922
204.325,11.6834
204.374,9.3825
204.426,7.63174
204.484,6.18147
204.543,5.13893
204.609,4.29116
204.682,3.61108
204.774,3.00083
204.887,2.46401
205.019,2.01958
205.173,1.64678
205.349,1.33978
205.547,1.09024
205.781,0.877707
206.038,0.711113
206.331,0.574403
206.638,0.470614
206.99,0.384321
207.43,0.307658
207.891,0.250775
208.375,0.207705
208.946,0.171068
209.613,0.140992
210.36,0.117489
211.107,0.101075
212.112,0.0861298
213.294,0.0755511
214.692,0.0691106
215.85,0.0675112
217.257,0.0699239
218.665,0.0771993
219.679,0.0863527
220.694,0.100485
221.6,0.11942
222.405,0.144196
223.095,0.174915
223.713,0.214599
224.216,0.260401
224.705,0.323447
225.107,0.397511
225.452,0.48653
225.754,0.594805
226.042,0.739642
226.293,0.919745
226.509,1.13824
226.696,1.40535
226.847,1.70654
226.991,2.1126
227.098,2.54903
227.195,3.11515
227.271,3.75102
227.336,4.51884
227.4,5.60521
227.458,6.96723
227.508,8.59265
227.559,10.8022
227.608,13.6118
227.663,17.8184
227.718,23.4221
227.773,30.7971
227.834,41.1966
227.896,54.8988
227.974,76.3038
228.074,110.66
228.279,187.893
228.379,216.236
228.477,229.005
228.499,229.482
228.595,221.051
228.684,199.568
228.822,150.276
228.982,90.5134
229.068,64.1016
