79-Au-197(n,&gamma;) ENDF/B-VII.1
382.572,9.44643
382.643,7.61513
382.723,6.16012
382.803,5.13798
382.888,4.34848
383.013,3.52276
383.164,2.83952
383.324,2.32585
383.504,1.9096
383.715,1.56
383.945,1.28408
384.226,1.04355
384.537,0.854222
384.888,0.701546
385.329,0.567025
385.82,0.463588
386.411,0.378135
387.113,0.31001
387.914,0.258054
388.877,0.217387
389.839,0.191423
391.029,0.172298
392.126,0.164245
392.675,0.163372
393.918,0.170142
394.851,0.186006
395.531,0.206911
396.086,0.233443
396.64,0.274013
397.11,0.326943
397.514,0.395863
397.791,0.464608
398.055,0.557642
398.282,0.673315
398.467,0.810984
398.614,0.972695
398.732,1.16724
398.827,1.40752
398.901,1.68076
398.966,2.01909
399.031,2.49379
399.093,3.13097
399.153,3.98187
399.214,5.12921
399.274,6.64623
399.341,8.85039
399.412,11.829
399.5,16.5417
399.638,25.6457
399.798,36.3969
399.903,41.2808
400.008,43.1657
400.015,43.1684
400.114,41.6326
400.232,36.8345
400.393,28.9955
400.477,26.3795
400.538,25.7666
400.598,26.4928
400.659,28.7191
400.735,33.6922
400.825,42.4753
400.982,62.8703
401.133,81.4759
401.236,88.917
401.298,90.1757
401.4,86.6258
401.507,76.3756
401.802,35.5159
401.895,25.1588
401.968,18.6602
402.031,14.2857
402.093,10.8935
402.154,8.40299
402.217,6.48303
402.28,5.07923
402.344,4.03836
402.415,3.22665
402.493,2.60003
402.577,2.13756
402.682,1.74092
402.807,1.41813
402.943,1.17478
403.1,0.973854
403.283,0.805255
403.493,0.666669
403.749,0.545931
404.011,0.457811
404.356,0.375122
404.759,0.308446
405.235,0.254557
405.822,0.210118
406.471,0.177398
407.256,0.151267
408.041,0.133766
409.297,0.116108
410.553,0.105831
412.46,0.098037
414.37,0.095542
416.734,0.0978975
419.729,0.107933
422.356,0.124857
424.563,0.147847
426.454,0.17775
428.031,0.214763
429.449,0.263474
430.684,0.325465
431.735,0.401913
432.654,0.497992
433.39,0.605717
434.034,0.736062
434.677,0.918832
435.229,1.14165
435.682,1.39671
436.096,1.71772
436.47,2.12072
436.792,2.59887
437.102,3.23946
437.375,4.036
437.614,5.01743
437.824,6.22979
438.008,7.71967
438.161,9.43826
438.308,11.7704
438.426,14.4105
438.536,17.8504
438.628,21.801
438.723,27.3644
438.81,34.3228
438.896,43.6596
438.991,57.304
439.085,75.2682
439.196,102.151
439.359,151.625
439.569,216.601
439.687,241.002
439.8,249.367
439.918,240.256
440.048,211.884
440.39,105.962
440.504,77.4404
440.599,59.0001
