71-Lu-176(n,&gamma;) ENDF/B-VII.1
46.4667,94.5526
46.4943,71.5643
46.5179,56.4696
46.5426,44.4454
46.5679,35.3322
46.5932,28.6604
46.6196,23.5931
46.6471,19.7694
46.6786,16.6357
46.7179,13.9071
46.7643,11.7161
46.8174,10.0031
46.8933,8.39641
46.9843,7.20823
47.0875,6.42116
47.1907,6.00835
47.2956,5.87727
47.3766,5.99102
47.4577,6.43716
47.5118,7.09737
47.5658,8.23822
47.6266,10.215
47.7358,14.4887
47.791,15.7035
47.8162,15.8375
47.8676,15.3198
47.9937,12.3611
48.0421,11.7742
48.0635,11.6941
48.1288,12.0826
48.1963,13.3252
48.2751,15.7284
48.3429,18.7767
48.4088,23.0527
48.4597,27.7714
48.5049,33.6886
48.5426,40.6422
48.5765,49.4298
48.6079,60.8934
48.6362,75.3047
48.6626,93.7567
48.689,118.812
48.7154,152.535
48.7436,200.817
48.7738,268.923
48.8077,368.229
48.8492,520.291
48.9396,886.067
48.9753,988.026
49.0145,1036.7
49.0195,1037.38
49.0582,999.956
49.1029,875.139
49.216,423.821
49.2524,306.663
49.28,236.264
49.3064,183.384
49.3328,142.793
49.3604,111.12
49.3887,87.6502
49.417,70.8603
49.4469,58.2474
49.4808,48.3775
49.5196,40.8443
49.5583,35.9188
49.5971,32.8057
49.6477,30.9151
49.6604,30.8199
49.6984,31.5777
49.7321,33.8892
49.7657,38.3758
49.7952,44.7993
49.8246,54.3761
49.8527,67.2845
49.8823,85.6097
49.9177,114.6
49.9635,162.791
50.0465,259.033
50.0836,290.13
50.1226,304.658
50.1293,304.961
50.1671,294.373
50.2112,259.09
50.3255,126.58
50.3626,91.8244
50.391,70.8724
50.42,54.3382
50.4461,43.0978
50.4722,34.6725
50.4989,28.3312
50.5274,23.4557
50.5558,19.9659
50.5964,16.5712
50.6427,14.0941
50.6928,12.3651
50.7529,11.0361
50.8181,10.1629
50.9082,9.64817
50.9195,9.63875
50.9848,9.89071
51.0322,10.52
51.0795,11.7076
51.1302,13.7807
51.1922,17.4496
51.2824,23.4042
51.3374,25.7036
51.377,26.2158
51.4357,25.4334
51.5269,23.4851
51.5371,23.4329
51.5754,23.8248
51.6115,25.2512
51.6531,28.5337
51.6924,33.7489
51.7238,39.926
51.7553,48.5125
51.788,60.8654
51.8208,77.6964
51.8541,100.392
51.8899,132.06
51.9361,183.731
52.0404,317.459
52.0783,352.751
52.1225,371.508
52.1294,371.875
52.1705,359.506
52.2124,324.142
52.293,222.3
52.3511,150.825
52.3923,110.493
52.426,84.9408
52.4598,65.5049
52.4935,51.1344
52.5272,40.675
52.5647,32.3834
52.6022,26.5187
52.6471,21.5788
52.6921,18.1026
52.7483,15.029
52.8158,12.4794
52.887,10.608
52.9807,8.92274
53.0743,7.78602
53.2139,6.70456
53.3432,6.10841
53.5372,5.6667
53.6664,5.58788
53.8772,5.75598
54.088,6.28181
54.2865,7.16467
54.4603,8.36615
54.6051,9.81645
54.7469,11.8341
54.8749,14.4415
54.9847,17.6078
55.0842,21.65
55.1713,26.6343
55.2452,32.5521
55.3067,39.3353
55.3653,48.2945
55.4179,59.749
55.4619,73.3593
55.4999,90.0274
55.535,111.728
55.5643,136.712
55.5921,168.677
55.6177,207.628
55.6434,258.327
55.6719,332.083
55.7041,441.649
55.7381,591.949
55.7809,831.687
55.8936,1569.16
55.9402,1773.01
55.9795,1832.13
56.0128,1789.95
56.0491,1655.19
56.1088,1297.14
56.1849,792.391
56.2252,573.409
56.2581,431.561
56.2903,324.56
56.321,247.875
56.3496,194.776
56.3792,153.941
56.4089,124.002
56.4418,99.8711
56.4776,81.0945
56.5142,67.2741
56.5582,55.268
56.6094,45.2374
56.6709,36.6726
56.7323,30.4758
56.8114,24.6962
56.9036,19.9201
57.0046,16.2085
57.1217,13.1558
57.2597,10.6453
57.412,8.73791
57.5787,7.32015
57.7649,6.32027
57.9244,5.91825
57.9471,5.90691
58.0353,6.06128
58.0964,6.51567
58.1372,7.14347
58.1779,8.2193
58.2147,9.7673
58.2515,12.066
58.2882,15.2897
58.3295,20.1004
58.4003,30.528
58.4631,39.4261
58.5056,43.2366
58.5391,44.2212
58.5835,42.5127
58.6305,37.4792
58.7505,19.6619
58.7889,15.0972
58.8229,11.9749
58.8568,9.65549
58.8897,8.05705
58.9293,6.7717
58.9632,6.07025
58.9972,5.61995
59.0424,5.27821
59.1065,5.12025
59.1607,5.22355
59.2148,5.59414
59.2667,6.34729
59.3062,7.32666
59.3457,8.79568
59.3846,10.8266
59.436,14.4199
59.5499,23.7887
59.6029,26.475
59.6344,26.9585
59.6796,26.0879
59.7338,23.0995
59.8331,16.0651
59.8838,13.4684
59.9188,12.3591
59.9549,11.7888
59.973,11.7063
60.0271,12.187
60.0824,13.7509
60.1289,16.0482
60.1662,18.8101
60.2014,22.5749
60.2305,26.9552
60.2597,32.9972
60.2889,41.369
60.3156,51.8183
60.3447,67.1898
60.3739,87.7715
60.403,114.586
60.4358,153.073
60.4771,214.004
60.5901,409.709
60.6324,461.671
60.6732,483.205
60.6799,483.617
60.715,471.153
60.7626,419.283
60.8355,295.315
60.895,193.801
60.9351,138.521
60.9679,103.167
60.9958,79.7585
61.025,61.0659
61.0523,47.9277
61.0796,38.1297
61.11,30.1975
61.1404,24.5136
61.1762,19.783
61.2145,16.2754
61.257,13.5437
61.3044,11.3846
61.37,9.30535
61.4465,7.65754
61.5303,6.41419
61.6396,5.31343
61.749,4.57102
61.9008,3.89567
62.0526,3.47677
62.2349,3.19002
62.4205,3.07066
62.4824,3.06426
62.6921,3.16904
62.8493,3.39984
63.0066,3.82318
63.1376,4.41704
63.2425,5.16849
63.3333,6.1798
63.3945,7.19989
63.4434,8.36569
63.4923,10.0749
63.5331,12.2134
63.5657,14.6898
63.5983,18.2066
63.6269,22.5027
63.6525,27.6709
63.6787,34.6002
63.7049,43.5682
63.7349,56.7885
63.769,76.0895
63.8092,104.756
63.9338,209.908
63.9743,233.316
64.02,243.27
64.0647,233.93
64.1132,205.407
64.2367,102.806
64.278,75.2425
64.3127,57.5041
64.345,45.2287
64.3756,36.9577
64.4061,31.4134
64.4324,28.4719
64.4586,26.9625
64.4785,26.6894
