48-Cd-110(n,&gamma;) ENDF/B-VII.1
931.523,0.0440836
932.722,0.0358562
934.067,0.0292281
935.66,0.0236495
937.254,0.0195465
939.345,0.015691
941.735,0.0126286
944.424,0.0102289
947.212,0.00851806
949.602,0.00736753
952.788,0.00622678
956.772,0.00520184
961.552,0.00432759
966.332,0.00372942
972.705,0.00314167
979.078,0.00273068
987.044,0.00237304
996.604,0.00207798
1009.35,0.00183685
1022.1,0.00170253
1037.16,0.00164663
1048.76,0.00168682
1058.04,0.00178022
1064.99,0.00190505
1071.95,0.0020921
1077.75,0.00235281
1082.97,0.00271434
1087.32,0.00314654
1090.8,0.00366869
1093.84,0.00432691
1096.59,0.00518109
1099.13,0.00632236
1101.23,0.00766539
1102.97,0.00926885
1104.42,0.0111211
1105.76,0.0134825
1107.03,0.016598
1108.12,0.0202941
1109.07,0.0248005
1109.9,0.0302132
1110.72,0.0377975
1111.43,0.0470316
1112.01,0.0575484
1112.54,0.0706914
1113.04,0.0884374
1113.48,0.110309
1113.81,0.133175
1114.1,0.161544
1114.34,0.194383
1114.53,0.232429
1114.69,0.280414
1114.83,0.339214
1114.95,0.413389
1115.05,0.502387
1115.15,0.625108
1115.26,0.794844
1115.34,0.984715
1115.43,1.23202
1115.51,1.55211
1115.6,1.96311
1115.7,2.60557
1115.8,3.43322
1115.91,4.5785
1116.01,6.04465
1116.13,8.07522
1116.27,11.0485
1116.42,15.2256
1116.64,22.6724
1117.11,40.1265
1117.34,46.0256
1117.55,48.3014
1117.57,48.321
1117.77,46.6873
1117.96,42.1295
1118.27,31.2296
1118.61,18.8078
1118.79,13.0666
1118.94,9.47341
1119.07,6.89974
1119.19,5.19015
1119.29,3.9634
1119.38,3.05997
1119.48,2.35269
1119.57,1.80695
1119.66,1.43062
1119.75,1.13824
1119.83,0.912815
1119.92,0.740036
1120.02,0.585604
1120.12,0.473878
1120.23,0.388106
1120.35,0.3199
1120.5,0.264939
1120.64,0.226514
1120.84,0.188274
1121.12,0.153789
1121.44,0.125311
1121.78,0.104035
1122.19,0.0854095
1122.67,0.0697485
1123.19,0.057494
1123.86,0.0463189
1124.5,0.0386806
1125.36,0.0316823
1126.21,0.0269916
1127.07,0.0238467
1128.12,0.0215245
1129.17,0.0207648
1129.84,0.0212061
1130.68,0.0231435
1131.18,0.0254052
1131.69,0.0290057
1132.14,0.0341876
1132.5,0.0406472
1132.76,0.0477077
1132.94,0.0554106
1133.09,0.0653954
1133.22,0.0772592
1133.32,0.091305
1133.42,0.110951
1133.53,0.138632
1133.62,0.173139
1133.7,0.214073
1133.79,0.275297
1133.89,0.35731
1133.98,0.466019
1134.07,0.608315
1134.17,0.792055
1134.27,1.0553
1134.37,1.39257
1134.49,1.87539
1134.61,2.54197
1134.76,3.49796
1134.94,5.02693
1135.31,8.73037
1135.58,11.2478
1135.8,12.5671
1135.98,12.9208
1136.19,12.4401
1136.39,11.1083
1136.72,7.93408
1137.03,4.92843
1137.21,3.4193
1137.36,2.44246
1137.49,1.79115
1137.61,1.32671
1137.71,1.01056
1137.81,0.757384
1137.9,0.58534
1137.99,0.451349
1138.08,0.350862
1138.17,0.271871
1138.26,0.212386
1138.35,0.167932
1138.44,0.134899
1138.53,0.110406
1138.62,0.0922306
1138.73,0.0770293
1138.85,0.0637467
1139.01,0.0530912
1139.19,0.04485
1139.45,0.0371218
1139.74,0.0312688
1140.1,0.0260915
1140.53,0.0216789
1141.07,0.0178432
1141.72,0.01464
1142.41,0.0122836
1143.2,0.0103627
1144.31,0.00851123
1145.54,0.00714123
1147.15,0.00594599
1149.03,0.00501617
1151.24,0.00430376
1154.18,0.00368668
1157.12,0.00327708
1161.53,0.00290298
1165.94,0.00265574
1171.82,0.00247351
1180.64,0.00237018
1183.58,0.00236002
1192.32,0.00241691
1203.97,0.00260291
1212.68,0.00286929
1219.93,0.00325896
1225.01,0.00369867
1227.91,0.00413266
1230.72,0.00480105
1232.63,0.00558837
1233.9,0.00640991
1235.01,0.00751327
1235.93,0.00890088
1236.69,0.010635
1237.28,0.0126141
1237.76,0.0149702
1238.17,0.0177524
1238.55,0.0214887
1238.8,0.0252211
1239.01,0.029636
1239.18,0.0355352
1239.31,0.0418186
1239.43,0.0505161
1239.54,0.0607553
1239.64,0.0749173
1239.74,0.0945636
1239.83,0.118624
1239.92,0.150705
1240.01,0.190509
1240.1,0.245433
1240.19,0.316793
1240.28,0.408425
1240.39,0.546654
1240.5,0.735251
1240.62,0.983235
1240.75,1.33429
1240.88,1.79299
1241.04,2.48247
1241.25,3.61121
1241.75,6.54832
1242.0,7.60875
1242.22,7.99383
1242.24,7.99865
1242.45,7.73236
1242.65,6.98854
1242.98,5.173
1243.32,3.12637
1243.51,2.22394
1243.67,1.58649
1243.81,1.15546
1243.93,0.860596
1244.04,0.639898
1244.14,0.487091
1244.24,0.368412
1244.34,0.278722
1244.44,0.212461
1244.54,0.162688
1244.64,0.125701
1244.73,0.100604
1244.82,0.0816946
1244.92,0.0661043
1245.03,0.0533073
1245.16,0.0435562
1245.28,0.036879
1245.44,0.0313908
1245.62,0.0270458
1245.88,0.0227544
1246.24,0.0189639
1246.66,0.0158983
1247.14,0.0135304
1247.82,0.0113011
1248.6,0.00963229
1249.31,0.00861911
1250.37,0.00760218
1251.44,0.0069557
1252.86,0.00643999
1255.22,0.00600918
1258.06,0.00587017
1263.74,0.00612096
1271.31,0.00700682
1279.91,0.00865986
1286.11,0.0104244
1292.31,0.012956
1296.96,0.0156783
1300.84,0.018718
1303.94,0.0221853
1306.65,0.0265035
1308.85,0.0316481
1310.4,0.0368214
1311.69,0.0432205
1312.78,0.0514366
1313.62,0.0611262
1314.26,0.0723644
1314.76,0.085441
1315.18,0.101937
1315.47,0.120085
1315.68,0.140531
1315.84,0.165906
1315.98,0.197869
1316.09,0.234667
1316.2,0.286244
1316.32,0.358837
1316.42,0.451944
1316.52,0.570924
1316.61,0.72918
1316.71,0.937658
1316.82,1.24047
1316.93,1.63938
1317.04,2.17897
1317.15,2.87149
1317.27,3.86465
1317.41,5.27031
1317.56,7.21496
1317.76,10.2891
1318.09,16.6348
1318.43,22.9971
1318.68,26.1232
1318.89,27.0639
1319.11,26.0583
1319.34,23.2702
1319.69,16.6252
1320.02,10.2877
1320.22,7.21884
1320.37,5.27777
1320.51,3.87474
1320.63,2.88341
1320.75,2.19213
1320.86,1.64095
1320.96,1.26761
1321.06,0.97912
1321.16,0.759211
1321.26,0.593625
1321.36,0.470255
1321.46,0.379113
1321.56,0.312179
1321.68,0.2548
1321.8,0.21529
1321.92,0.18781
1322.09,0.163145
1322.29,0.143612
1322.61,0.125174
1323.01,0.111836
1323.5,0.102289
1324.14,0.0953515
1325.11,0.0916823
1325.43,0.0915684
1326.85,0.0953197
1328.63,0.10738
1330.4,0.126875
1332.16,0.155323
1333.63,0.189131
1334.95,0.231269
1336.24,0.288741
1337.24,0.350226
1338.21,0.43128
1339.04,0.52734
1339.84,0.65133
1340.57,0.810907
1341.24,1.01652
1341.81,1.26064
1342.32,1.57116
1342.77,1.95284
1343.14,2.37505
1343.5,2.96336
1343.78,3.60965
1344.05,4.46525
1344.28,5.44745
1344.5,6.7672
1344.71,8.48902
1344.92,10.7398
1345.12,13.6748
1345.35,18.0963
1345.6,24.2409
1345.91,33.7378
1346.54,55.2586
1346.83,61.9871
1347.11,64.3233
1347.34,62.7651
1347.61,57.0082
1348.05,42.7953
1348.48,28.3262
1348.76,20.4878
1349.0,15.4445
1349.2,12.0972
1349.4,9.54142
1349.61,7.59382
1349.82,6.10592
1350.05,4.93328
1350.31,3.9797
1350.57,3.28755
1350.89,2.66051
1351.28,2.12852
1351.66,1.74684
1352.09,1.43762
1352.63,1.15215
1353.21,0.93487
1353.86,0.754795
1354.63,0.604278
1355.5,0.483335
1356.4,0.39208
1357.4,0.318339
1358.53,0.257694
1359.88,0.205398
1361.24,0.167601
1362.85,0.134857
1364.66,0.108529
1366.72,0.0868354
1368.98,0.069814
1371.56,0.0558683
1374.2,0.0455228
1377.3,0.0367068
1380.4,0.0302419
1384.27,0.0243535
1388.14,0.0200274
1392.78,0.0162208
1397.69,0.0132898
1403.88,0.0106282
1409.56,0.00884425
1417.3,0.00708314
1425.56,0.0057441
1436.73,0.00450004
1445.84,0.00378249
1456.77,0.00313949
1469.52,0.00261065
1485.92,0.00213669
1504.13,0.00178865
1522.35,0.00155091
1544.21,0.00135839
1566.07,0.00124589
1587.94,0.00119258
1602.51,0.00116869
1624.37,0.00119357
1638.95,0.00125382
1649.88,0.00133665
1657.16,0.00144893
1662.62,0.00158592
1667.15,0.00178132
1669.87,0.00198291
1672.59,0.00230215
1674.4,0.00263394
1675.98,0.00307866
1677.34,0.00364988
1678.48,0.0043581
1679.4,0.00521114
1680.23,0.00632256
1680.91,0.00765011
1681.46,0.00915015
1681.91,0.0108773
1682.34,0.0131208
1682.69,0.015848
1682.92,0.0185145
1683.13,0.0219451
1683.29,0.0258902
1683.43,0.0310359
1683.56,0.0371009
1683.68,0.0455421
1683.8,0.0573622
1683.9,0.0720142
1684.01,0.0906846
1684.12,0.118019
1684.23,0.154826
1684.34,0.20386
1684.46,0.268379
1684.57,0.352118
1684.69,0.473716
1684.83,0.642064
1684.96,0.857811
1685.1,1.13952
1685.27,1.57407
1685.47,2.19981
1685.76,3.33633
1686.23,5.25329
1686.52,6.11732
1686.78,6.43236
1686.81,6.43553
1687.05,6.21643
1687.29,5.60502
1687.67,4.14801
1688.07,2.48678
1688.28,1.77818
1688.45,1.31034
1688.6,0.969517
1688.75,0.71002
1688.88,0.526499
1689.0,0.40294
1689.11,0.308081
1689.22,0.234434
1689.34,0.178064
1689.45,0.135476
1689.56,0.103673
1689.67,0.0808725
1689.78,0.0639496
1689.87,0.0526534
1689.99,0.0422139
1690.11,0.0347436
1690.23,0.0293538
1690.37,0.0248906
1690.55,0.0210291
1690.76,0.0178909
