25-Mn-55(n,&gamma;) ENDF/B-VII.1
20472.4,0.036143
20619.8,0.0475954
20796.9,0.0635856
20812.5,0.0677421
20816.8,0.0711608
20818.9,0.0751115
20820.3,0.0808423
20821.5,0.0887271
20822.6,0.102292
20823.5,0.1206
20824.2,0.141922
20825.0,0.174844
20825.8,0.218555
20826.6,0.276486
20827.6,0.364893
20828.6,0.49564
20830.0,0.707134
20833.0,1.23981
20834.4,1.40437
20835.7,1.46687
20835.8,1.46695
20837.1,1.41019
20838.5,1.23566
20842.2,0.600428
20843.4,0.428339
20844.4,0.326835
20845.3,0.248613
20846.1,0.196491
20846.9,0.158079
20847.7,0.130594
20848.5,0.111435
20849.4,0.0976944
20850.6,0.0864394
20852.0,0.0789573
20854.3,0.0737085
20857.8,0.0706527
20867.0,0.0679432
20918.5,0.066406
21007.1,0.0636232
21128.8,0.0545751
21311.3,0.0390866
21432.9,0.0311277
21563.3,0.024948
21693.6,0.0206192
21845.7,0.0171864
21880.2,0.0166694
21886.4,0.0168864
21888.4,0.0174245
21890.3,0.0189278
21891.7,0.0213263
21893.0,0.0246242
21894.2,0.0294176
21895.6,0.0372615
21899.5,0.0627729
21901.0,0.068872
21902.0,0.0702243
21903.4,0.0678139
21904.9,0.0609127
21908.7,0.0356228
21910.0,0.028567
21911.4,0.0234724
21912.6,0.0203976
21914.1,0.0181582
21915.6,0.017012
21918.8,0.0161832
21961.5,0.0153876
22127.8,0.0134769
22264.9,0.0125021
22292.4,0.0124062
22314.8,0.012714
22319.8,0.0130778
22323.1,0.0137539
22324.7,0.0145921
22325.8,0.0158219
22327.0,0.0180585
22328.0,0.021222
22328.8,0.0255003
22329.6,0.0314034
22330.5,0.0396351
22331.3,0.0507652
22332.1,0.0653286
22333.1,0.0886849
22334.3,0.123116
22336.2,0.193759
22338.4,0.272416
22339.8,0.305126
22341.0,0.315477
22342.4,0.302954
22343.7,0.272343
22345.7,0.196974
22347.7,0.124304
22348.9,0.0896207
22349.9,0.0668273
22350.7,0.0512934
22351.6,0.0398892
22352.4,0.0314753
22353.2,0.0254561
22354.1,0.0212702
22354.7,0.01891
22355.8,0.0164309
22356.9,0.0148555
22358.5,0.0137854
22361.6,0.0129689
22371.0,0.0123073
22410.3,0.0118229
22480.0,0.0116286
22552.7,0.0119196
22586.2,0.012676
22603.7,0.0137247
22614.2,0.0149791
22622.6,0.0167735
22628.9,0.019102
22633.8,0.0220992
22637.3,0.0254479
22640.1,0.029436
22642.6,0.0347109
22644.5,0.0408229
22646.2,0.049133
22647.6,0.0588916
22648.6,0.0693985
22649.7,0.0855684
22650.6,0.106016
22651.6,0.134573
22652.6,0.173302
22653.5,0.225759
22654.5,0.295142
22655.5,0.389657
22656.7,0.535198
22658.3,0.771485
22661.4,1.26977
22663.0,1.45441
22664.4,1.51763
22664.5,1.51827
22665.9,1.46927
22667.2,1.33604
22669.3,1.00805
22671.6,0.635936
22673.0,0.454885
22674.1,0.336247
22675.1,0.254907
22676.0,0.199237
22676.9,0.156708
22677.7,0.125935
22678.6,0.101946
22679.6,0.0817664
22680.7,0.0675475
22681.9,0.056187
22683.2,0.0473892
22685.0,0.0394002
