45-Rh-103(n,&gamma;) ENDF/B-VII.1
153.627,72.8413
153.693,95.5414
153.773,130.386
153.896,197.002
154.049,281.761
154.134,315.823
154.227,332.177
154.239,332.409
154.331,319.884
154.422,285.42
154.695,136.161
154.778,98.7458
154.847,74.4787
154.91,57.2182
154.973,44.034
155.036,34.1878
155.096,27.1587
155.157,21.9509
155.227,17.5567
155.302,14.2257
155.377,11.8173
155.472,9.59943
155.58,7.83094
155.706,6.35979
155.858,5.09517
156.02,4.14138
156.214,3.31944
156.423,2.68618
156.67,2.15176
156.932,1.74541
157.231,1.41042
157.545,1.15512
157.904,0.942325
158.352,0.752652
158.824,0.611118
159.324,0.502372
159.923,0.409079
160.64,0.330596
161.373,0.274362
162.196,0.22962
163.093,0.195254
164.289,0.164136
165.605,0.142491
166.921,0.129504
168.646,0.121277
169.482,0.120216
171.244,0.123697
172.963,0.134989
174.529,0.154076
175.835,0.179665
176.977,0.214452
177.684,0.248011
178.137,0.28324
178.326,0.308546
178.484,0.345309
178.602,0.395226
178.689,0.454796
178.776,0.544548
178.863,0.675242
178.947,0.847694
179.055,1.13802
179.307,1.92724
179.42,2.14769
179.491,2.19162
179.577,2.13726
179.692,1.90373
179.961,1.10683
180.057,0.883232
180.136,0.744926
180.234,0.628665
180.312,0.570309
180.43,0.522568
180.567,0.502615
180.613,0.500874
180.904,0.515958
181.448,0.593566
182.019,0.719689
182.514,0.874945
182.987,1.08211
183.43,1.35688
183.809,1.68974
184.153,2.1158
184.452,2.6404
184.707,3.26507
184.93,4.02226
185.134,4.98374
185.312,6.15712
185.468,7.58272
185.598,9.23813
185.72,11.4345
185.809,13.6776
185.898,16.8123
185.969,20.3263
186.038,25.0082
186.107,31.5537
186.168,39.5878
186.224,49.4301
186.285,63.6784
186.347,82.5196
186.413,109.208
186.484,146.325
186.569,202.28
186.689,300.501
186.856,443.198
186.958,506.431
187.059,532.403
187.069,532.64
187.168,512.063
187.279,446.131
187.554,214.515
187.641,155.069
187.713,115.53
187.782,86.4867
187.845,66.1987
187.904,51.7319
187.968,40.127
188.025,32.3838
188.089,26.0118
188.15,21.507
188.227,17.4192
188.303,14.487
188.402,11.7692
188.517,9.57374
188.655,7.72292
188.802,6.3065
188.981,5.07931
189.172,4.13351
189.395,3.33618
189.656,2.66915
189.923,2.17712
190.229,1.76791
190.601,1.41173
191.026,1.12341
191.454,0.914587
191.979,0.730702
192.561,0.586532
193.217,0.47116
193.892,0.386117
194.68,0.314777
195.58,0.257324
196.48,0.217638
197.32,0.194177
197.86,0.188358
198.205,0.192508
198.505,0.20815
198.692,0.230577
198.842,0.261819
198.992,0.31124
199.142,0.383916
199.373,0.535684
199.564,0.658205
199.714,0.712309
199.777,0.71748
199.888,0.69908
200.05,0.618498
200.395,0.377525
200.538,0.300079
200.669,0.247712
200.8,0.210674
200.95,0.181896
201.153,0.1573
201.415,0.138326
201.745,0.124187
202.195,0.112854
202.84,0.104679
203.155,0.10354
203.565,0.106519
203.768,0.111891
203.921,0.120095
204.023,0.129725
204.118,0.144551
204.208,0.167105
204.287,0.197661
204.366,0.243035
204.434,0.297799
204.507,0.377936
204.587,0.495299
204.683,0.67811
204.839,1.04843
204.987,1.39997
205.084,1.55891
205.189,1.62365
205.289,1.56492
205.404,1.37199
205.693,0.677975
205.784,0.501532
205.86,0.386051
205.936,0.298124
206.004,0.240018
206.077,0.194227
206.156,0.160004
206.235,0.136844
206.325,0.119299
206.415,0.107707
206.573,0.0951232
206.838,0.0838438
207.261,0.0745232
208.004,0.0662863
209.152,0.0595876
211.223,0.0528473
213.565,0.0483958
217.077,0.0449352
220.002,0.0440588
224.016,0.0454195
226.883,0.0480687
229.941,0.0529109
232.628,0.0593042
234.942,0.0675017
236.967,0.077594
239.137,0.0924123
240.968,0.111118
242.364,0.131447
243.727,0.159348
244.92,0.194263
245.925,0.236104
246.879,0.292847
247.68,0.361447
248.361,0.444485
248.975,0.550616
249.452,0.666124
249.878,0.8094
250.188,0.959049
250.406,1.12147
250.569,1.31205
250.706,1.54303
250.883,1.95887
251.248,2.95755
251.443,3.27503
251.851,3.56592
252.021,3.92326
252.163,4.46964
252.303,5.30091
252.422,6.34492
252.518,7.52105
252.613,9.15552
252.698,11.2529
252.776,13.9578
252.844,17.2452
252.913,21.7271
252.981,27.8208
253.045,35.5053
253.115,46.4418
253.185,60.7065
253.262,81.0362
253.353,111.626
253.474,162.727
253.727,280.316
253.839,316.482
253.946,330.982
253.96,331.17
254.057,321.473
254.183,283.854
254.393,187.312
254.537,123.1
254.628,90.2498
254.701,68.976
254.777,51.655
254.847,39.4865
254.914,30.5697
254.982,23.7633
255.05,18.7387
255.119,15.0492
255.188,12.3136
255.263,10.1306
255.349,8.33579
255.456,6.76489
255.579,5.52427
255.731,4.45949
255.883,3.70181
256.073,3.01643
256.294,2.44675
256.541,1.99467
256.806,1.64469
257.148,1.32655
257.502,1.09576
257.885,0.918181
258.361,0.764679
258.916,0.646339
259.43,0.575777
259.963,0.532112
260.523,0.515948
260.94,0.528108
261.33,0.570893
261.59,0.633829
261.778,0.719424
261.904,0.816686
262.014,0.952319
262.093,1.0964
262.18,1.32684
262.257,1.61325
262.333,2.00575
262.41,2.53233
262.492,3.27488
262.59,4.43866
262.705,6.16466
263.0,11.2512
263.134,12.7683
263.242,13.1759
263.361,12.7028
263.52,10.962
263.722,8.38302
263.842,7.37073
263.962,6.92808
264.016,6.88311
264.248,7.06787
264.391,6.84912
264.517,6.19836
264.693,4.74855
264.882,3.08522
264.995,2.27732
265.089,1.76531
265.178,1.41231
265.256,1.18656
265.354,0.995446
265.463,0.867062
265.553,0.804945
265.732,0.744908
266.022,0.724776
266.534,0.765808
267.054,0.862596
267.573,1.01578
268.032,1.21382
268.483,1.4934
268.863,1.83145
269.201,2.25679
269.496,2.78095
269.743,3.38726
269.989,4.23782
270.2,5.27977
270.369,6.45451
270.51,7.81408
270.637,9.5279
270.743,11.543
270.827,13.77
270.916,17.0199
271.0,21.4224
271.076,26.9826
271.147,34.0145
271.217,43.4593
271.288,55.9959
271.355,71.6092
271.434,95.0651
271.524,129.622
271.634,183.079
271.941,363.623
272.065,417.351
272.184,439.175
272.2,439.462
272.308,424.873
272.42,382.874
272.606,277.002
272.769,181.128
272.876,129.34
272.966,94.8915
273.046,71.1386
273.124,53.6895
273.194,41.7169
273.262,33.0233
273.338,25.7821
273.405,21.0459
273.49,16.7413
273.579,13.5581
273.674,11.1275
273.794,9.00447
273.918,7.45719
274.059,6.18256
274.228,5.07121
274.411,4.19168
274.622,3.4455
